Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_428,reuse,16,groupO2, il pianoforte il s,1011371___14_30,1011371
cluster_428,reuse,16,groupB, il pianofort,1011529___12_24,1011529
cluster_432,reuse,59,groupO2,l male della scienza è tutto qui che vuole occuparsi della vita soltant,1011372___1_55,1011372
cluster_435,reuse,50,groupO2,a nel terrazzino la mammina di casa in veste da camer,1011375___14_56,1011375
cluster_438,reuse,82,groupO2,driano Meis il nuovo nome di Mattia decise di farsi una nuova vita ma non sarà di sicuro f,1011376___1_71,1011376
cluster_439,reuse,32,groupO2,i pianoforte sola infelice e distr,1011377___49_78,1011377
cluster_441,reuse,31,groupO2,ittime dell amore di Malagna Ma,1011378___29_55,1011378
cluster_442,reuse,26,groupO2, della zia Scolastica vers,1011380___52_73,1011380
cluster_443,reuse,31,groupO2,ote la fortuna nel gioco d azzar,1011381___50_75,1011381
cluster_445,reuse,46,groupO2,attia vedendo l annuncio della sua morte de,1011382___1_37,1011382
cluster_447,reuse,22,groupO2,ico ha rovinato l umani,1011384___17_36,1011384
cluster_451,reuse,44,groupO2, è destinata a morire per la terza volta Mat,1011385___14_49,1011385
cluster_453,reuse,21,groupO2,ge anche la morte di s,1011386___50_66,1011386
cluster_455,reuse,52,groupO2,on pensai più al denaro rubato vedendola soffrire co,1011389___1_43,1011389
cluster_457,reuse,26,groupO2,ere un po più Mattia Pasca,1011390___23_43,1011390
cluster_457,reuse,26,groupO2,sa resta di Mattia Pascal Solt,1011475___1_26,1011475
cluster_457,reuse,26,groupO2,el Tutt al più Mattia Pascal,1011918___14_36,1011918
cluster_458,reuse,26,groupB,i Mattia Pascal è tanto s,1011738___6_25,1011738
cluster_458,reuse,26,groupB,i Mattia Pascal è tanto st,1011739___6_26,1011739
cluster_458,reuse,26,groupO2,i Mattia Pascal o Adriano Mei,1011923___11_35,1011923
cluster_460,reuse,49,groupO2,cco qualche cosa d Adriano Meis mi sarebbe tuttavia rimasto in facci,1011391___20_69,1011391
cluster_463,reuse,49,groupO2,imentichiamo spesso di essere atomi Miry 2BSU,1011492___1_38,1011492
cluster_463,reuse,49,groupB,imentichiamo di essere infinite persone capaci di rispettarci ammirar,1011714___1_59,1011714
cluster_464,reuse,22,groupO2,me se volesse sempre m,1011399___1_20,1011399
cluster_465,reuse,39,groupO2,i aveva assecondato e tolto dalla vita comun,1011401___10_46,1011401
cluster_469,reuse,30,groupO2, chi li legge vive nella fantasi,1011403___37_61,1011403
cluster_470,reuse,95,groupO2,a è vero che non si sono mai scritti libri così piccoli in posti così particolar,1011404___1_56,1011404
cluster_480,reuse,115,groupO2,estarono trasecolati tutti e tre ma Adriana e il padre col volto in fiamme Papiano all incontro terreo scontraffatt,1011413___1_95,1011413
cluster_483,reuse,93,groupO2,i sa Certo ero stato un uomo misteriosissimo non un amico non una lettera mai da nessuna part,1011414___1_76,1011414
cluster_485,reuse,32,groupO2, odio mi sbollà l impeto cedette E a po,1011415___1_29,1011415
cluster_485,reuse,32,groupO2, odio mi sbollì l impeto cedette E a po,1011416___1_29,1011416
cluster_486,reuse,38,groupO2,on pareva molto nemmeno a me a dir la veri,1011417___21_55,1011417
cluster_486,reuse,38,groupO2,on pareva molto nemmeno a me a dir la veri,1011418___21_55,1011418
cluster_487,reuse,50,groupO2, uomo non lo sapeva dunque era come se non girass,1011421___8_45,1011421
cluster_490,reuse,16,groupO2,minciare a viver,1011427___27_41,1011427
cluster_491,reuse,41,groupO2,iuscita oh riuscita benissimo l operazion,1011431___1_35,1011431
cluster_492,reuse,29,groupO2,ndate a innamorarvi del numer,1011432___1_27,1011432
cluster_493,reuse,25,groupO2,vrei preferito il vermout,1011433___1_24,1011433
cluster_495,reuse,101,groupO2,oveva essere infatti entro di sè tremendamente afflitto da una di quelle mogli che si fanno rispettar,1011434___1_83,1011434
cluster_496,reuse,43,groupO2,lla mi sorrideva mi carezzava con lo sguard,1011436___1_35,1011436
cluster_497,reuse,26,groupO2,egli occhiali un vero mart,1011437___11_31,1011437
cluster_497,reuse,26,groupB,egli occhiali un vero incubo,1011851___1_21,1011851
cluster_499,reuse,132,groupO2,o lascio questo manoscritto con l obbligo che nessuno possa aprirlo se non 50 anni dopo la mia terza ultima e definitiva mort,1011439___1_95,1011439
cluster_500,reuse,132,groupB, che nessuno lo legga se non cinquant anni dopo la mia terza,1011721___30_74,1011721
cluster_503,reuse,45,groupO2,i voleva dunque santo quella minuscola mammin,1011441___1_38,1011441
cluster_504,reuse,96,groupO2,osso dire che da allora ho fatto il gusto a ridere di tutte le mie sciagure e d ogni mio torment,1011444___1_73,1011444
cluster_507,reuse,64,groupO2,enne a sapere che se lo beveva di nascosto lei il vin,1011447___1_41,1011447
cluster_509,reuse,111,groupO2,e cos era in fondo ciò che m era sembrata la più grande delle fortune nella prima ebbrezza della mia liberazion,1011448___1_83,1011448
cluster_510,reuse,89,groupO2,me puoi tu pretendere mio caro Adriano dico a me stesso che qualche donna s innamori di t,1011449___1_69,1011449
